Panel_ID,Panel_Name,Boring_Type,X_mm,Y_mm,Diameter_mm,Depth_mm,Face
m0_p0-0_boring_1,(상)좌측,shelf-pin-전면,50.0,48.0,5.0,12.0,right
m0_p0-0_boring_2,(상)좌측,shelf-pin-중앙,291.0,48.0,5.0,12.0,right
m0_p0-0_boring_3,(상)좌측,shelf-pin-후면,532.0,48.0,5.0,12.0,right
m0_p0-0_boring_4,(상)좌측,shelf-pin-전면,50.0,66.0,5.0,12.0,right
m0_p0-0_boring_5,(상)좌측,shelf-pin-중앙,291.0,66.0,5.0,12.0,right
m0_p0-0_boring_6,(상)좌측,shelf-pin-후면,532.0,66.0,5.0,12.0,right
m0_p0-0_boring_7,(상)좌측,shelf-pin-전면,50.0,1525.0,5.0,12.0,right
m0_p0-0_boring_8,(상)좌측,shelf-pin-중앙,291.0,1525.0,5.0,12.0,right
m0_p0-0_boring_9,(상)좌측,shelf-pin-후면,532.0,1525.0,5.0,12.0,right
m0_p0-0_boring_10,(상)좌측,shelf-pin-전면,50.0,1773.0,5.0,12.0,right
m0_p0-0_boring_11,(상)좌측,shelf-pin-중앙,291.0,1773.0,5.0,12.0,right
m0_p0-0_boring_12,(상)좌측,shelf-pin-후면,532.0,1773.0,5.0,12.0,right
m0_p8-0_boring_1,(하)좌측,shelf-pin-전면,50.0,9.0,5.0,12.0,right
m0_p8-0_boring_2,(하)좌측,shelf-pin-중앙,291.0,9.0,5.0,12.0,right
m0_p8-0_boring_3,(하)좌측,shelf-pin-후면,532.0,9.0,5.0,12.0,right
m0_p8-0_boring_4,(하)좌측,shelf-pin-전면,50.0,591.0,5.0,12.0,right
m0_p8-0_boring_5,(하)좌측,shelf-pin-중앙,291.0,591.0,5.0,12.0,right
m0_p8-0_boring_6,(하)좌측,shelf-pin-후면,532.0,591.0,5.0,12.0,right
m0_p8-0_boring_7,(하)좌측,shelf-pin-전면,50.0,609.0,5.0,12.0,right
m0_p8-0_boring_8,(하)좌측,shelf-pin-중앙,291.0,609.0,5.0,12.0,right
m0_p8-0_boring_9,(하)좌측,shelf-pin-후면,532.0,609.0,5.0,12.0,right
m0_p1-0_boring_1,(상)우측,shelf-pin-전면,50.0,48.0,5.0,12.0,left
m0_p1-0_boring_2,(상)우측,shelf-pin-중앙,291.0,48.0,5.0,12.0,left
m0_p1-0_boring_3,(상)우측,shelf-pin-후면,532.0,48.0,5.0,12.0,left
m0_p1-0_boring_4,(상)우측,shelf-pin-전면,50.0,66.0,5.0,12.0,left
m0_p1-0_boring_5,(상)우측,shelf-pin-중앙,291.0,66.0,5.0,12.0,left
m0_p1-0_boring_6,(상)우측,shelf-pin-후면,532.0,66.0,5.0,12.0,left
m0_p1-0_boring_7,(상)우측,shelf-pin-전면,50.0,1525.0,5.0,12.0,left
m0_p1-0_boring_8,(상)우측,shelf-pin-중앙,291.0,1525.0,5.0,12.0,left
m0_p1-0_boring_9,(상)우측,shelf-pin-후면,532.0,1525.0,5.0,12.0,left
m0_p1-0_boring_10,(상)우측,shelf-pin-전면,50.0,1773.0,5.0,12.0,left
m0_p1-0_boring_11,(상)우측,shelf-pin-중앙,291.0,1773.0,5.0,12.0,left
m0_p1-0_boring_12,(상)우측,shelf-pin-후면,532.0,1773.0,5.0,12.0,left
m0_p9-0_boring_1,(하)우측,shelf-pin-전면,50.0,9.0,5.0,12.0,left
m0_p9-0_boring_2,(하)우측,shelf-pin-중앙,291.0,9.0,5.0,12.0,left
m0_p9-0_boring_3,(하)우측,shelf-pin-후면,532.0,9.0,5.0,12.0,left
m0_p9-0_boring_4,(하)우측,shelf-pin-전면,50.0,591.0,5.0,12.0,left
m0_p9-0_boring_5,(하)우측,shelf-pin-중앙,291.0,591.0,5.0,12.0,left
m0_p9-0_boring_6,(하)우측,shelf-pin-후면,532.0,591.0,5.0,12.0,left
m0_p9-0_boring_7,(하)우측,shelf-pin-전면,50.0,609.0,5.0,12.0,left
m0_p9-0_boring_8,(하)우측,shelf-pin-중앙,291.0,609.0,5.0,12.0,left
m0_p9-0_boring_9,(하)우측,shelf-pin-후면,532.0,609.0,5.0,12.0,left
