Label,Qty,Width,Length,Thickness,Material,Grain
(상)좌측,1,600,1782,18,PB,V
(상)우측,1,600,1782,18,PB,V
(상)바닥,1,574,1136,18,PB,V
(상)상판,1,574,1136,18,PB,V
(상)백패널,1,1146,1774,9,MDF,V
(상)후면 보강대,1,60,1135,15,PB,V
(상)후면 보강대,1,60,1135,15,PB,V
(상)선반 1,1,574,1136,18,PB,V
(하)좌측,1,600,618,18,PB,V
(하)우측,1,600,618,18,PB,V
(하)바닥,1,574,1136,18,PB,V
(하)상판,1,574,1136,18,PB,V
(하)백패널,1,574,1146,9,MDF,V
(하)후면 보강대,1,60,1135,15,PB,V
(하)후면 보강대,1,60,1135,15,PB,V
(하)서랍1(마이다),1,255,1172,18,PET,V
(하)서랍1 앞판,1,225,1042,15,PB,V
(하)서랍1 뒷판,1,225,1042,15,PB,V
(하)서랍1 좌측판,1,225,535,15,PB,V
(하)서랍1 우측판,1,225,535,15,PB,V
(하)서랍1 바닥,1,515,1052,5,MDF,V
(하)서랍2(마이다),1,255,1172,18,PET,V
(하)서랍2 앞판,1,225,1042,15,PB,V
(하)서랍2 뒷판,1,225,1042,15,PB,V
(하)서랍2 좌측판,1,225,535,15,PB,V
(하)서랍2 우측판,1,225,535,15,PB,V
(하)서랍2 바닥,1,515,1052,5,MDF,V
